02/07/2022,BEST BUY #634     _F,,20.65,78.36
02/07/2022,THE E JUICE GAL   _F,16.93,,61.43
02/14/2022,PIZZA PIZZA # 6   _F,5.07,,56.36
02/16/2022,CANADA           PAY,,458.56,514.92
02/16/2022,WATERSHED 144     _F,4.24,,510.68
02/16/2022,SEND E-TFR ***4sU   ,12.00,,498.68
02/16/2022,SKIPTHEDISHES     _V,32.94,,465.74
02/17/2022,PIZZA PIZZA LTD   _V,25.24,,440.50
02/17/2022,SKIPTHEDISHES     _V,22.99,,417.51
02/17/2022,SKIPTHEDISHES     _V,17.84,,399.67
02/18/2022,SKIPTHEDISHES     _V,32.94,,366.73
02/18/2022,SKIPTHEDISHES     _V,10.69,,356.04
02/22/2022,SKIPTHEDISHES     _V,21.29,,334.75
02/28/2022,SKIPTHEDISHES     _V,32.94,,301.81
02/28/2022,SKIPTHEDISHES     _V,23.34,,278.47
02/28/2022,SEND E-TFR ***Rys   ,100.00,,178.47
02/28/2022,PIZZA PIZZA # 6     ,24.21,,154.26
03/01/2022,SKIPTHEDISHES     _V,35.50,,118.76
03/02/2022,CANADA           PAY,,571.29,690.05
03/02/2022,SKIPTHEDISHES     _V,29.45,,660.60
03/02/2022,SKIPTHEDISHES     _V,8.60,,652.00
03/03/2022,E-TRANSFER ***Stb   ,,300.00,952.00
03/03/2022,LRNTN UNIV   U6X6L8 ,300.00,,652.00
03/03/2022,JUICE ON THE LO   _F,18.07,,633.93
03/03/2022,CANNA CABANA        ,104.05,,529.88
03/03/2022,MCDONALD'S #311   _F,14.89,,514.99
03/03/2022,SKIPTHEDISHES     _V,22.55,,492.44
03/04/2022,SKIPTHEDISHES     _V,29.45,,462.99
03/04/2022,LRNTN UNIV   W2H9H6 ,53.21,,409.78
03/07/2022,SKIPTHEDISHES     _V,29.45,,380.33
03/07/2022,SKIPTHEDISHES     _V,19.05,,361.28
03/07/2022,SKIPTHEDISHES     _V,29.45,,331.83
03/07/2022,SKIPTHEDISHES     _V,22.57,,309.26
03/07/2022,SKIPTHEDISHES     _V,22.55,,286.71
03/07/2022,SEND E-TFR ***6eC   ,28.20,,258.51
03/08/2022,SEND E-TFR ***hdn   ,9.50,,249.01
03/08/2022,SKIPTHEDISHES     _V,22.55,,226.46
03/09/2022,NON-TD ATM W/D      ,123.00,,103.46
03/09/2022,LCBO/RAO #0287    _F,22.55,,80.91
03/10/2022,SKIPTHEDISHES     _V,29.45,,51.46
03/10/2022,CANNA CABANA      _F,33.55,,17.91
03/10/2022,E-TRANSFER ***rF2   ,,70.00,87.91
