09/02/2021,Rehab Plus       PAY,,548.80,2265.52
09/03/2021,CANADA           GST,,74.75,2340.27
09/03/2021,E-TRANSFER ***tEW   ,,3000.00,5340.27
09/07/2021,SCIENCE NORTH     _F,40.68,,5299.59
09/07/2021,LCBO/RAO #652     _F,19.95,,5279.64
09/07/2021,OSMOW'S           _F,9.37,,5270.27
09/07/2021,LCBO/RAO #652     _F,16.60,,5253.67
09/07/2021,PETSMART INC. 1   _F,9.04,,5244.63
09/07/2021,HIGHLIFE SUDBUR   _F,70.96,,5173.67
09/07/2021,Canna Cabana      _V,25.38,,5148.29
09/07/2021,E-TRANSFER ***Ej8   ,,3000.00,8148.29
09/10/2021,CANADA           PRO,,316.00,8464.29
09/10/2021,E-TRANSFER ***kPa   ,,2200.00,10664.29
09/10/2021,LRNTN UNIV   K8K6H9 ,8000.00,,2664.29
09/10/2021,Canna Cabana      _V,52.59,,2611.70
09/10/2021,SEND E-TFR ***qeQ   ,10.00,,2601.70
09/13/2021,LCBO/RAO #0407    _F,50.25,,2551.45
09/13/2021,E-TRANSFER ***9Ag   ,,10.00,2561.45
09/17/2021,SQ *CUISINE TRO     ,37.29,,2524.16
09/17/2021,WALMART STORE #   _F,46.93,,2477.23
09/17/2021,GIANT TIGER # 2   _F,44.07,,2433.16
09/20/2021,WALMART STORE #   _F,22.57,,2410.59
09/20/2021,SQ *ECLOUDZ       _F,15.81,,2394.78
09/20/2021,MR. SOUVILAKI     _F,12.54,,2382.24
09/20/2021,BRADY SQUARE QW     ,1.69,,2380.55
09/20/2021,LCBO/RAO #0407    _F,15.95,,2364.60
09/20/2021,SKIPTHEDISHES     _V,63.79,,2300.81
09/20/2021,REHAN'S YIG #16   _F,65.33,,2235.48
09/20/2021,CANNA CABANA      _F,42.93,,2192.55
09/24/2021,THE SUBMARINE P   _F,12.77,,2179.78
09/24/2021,TIM HORTONS #06   _F,4.62,,2175.16
09/27/2021,SKIPTHEDISHES     _V,11.49,,2163.67
09/27/2021,SKIPTHEDISHES     _V,33.77,,2129.90
09/27/2021,SKIPTHEDISHES     _V,44.96,,2084.94
09/27/2021,SKIPTHEDISHES     _V,,33.77,2118.71
09/28/2021,Canna Cabana      _V,41.86,,2076.85
09/29/2021,INTEREST CREDIT     ,,0.03,2076.88
09/29/2021,WITHDRAWAL FEES     ,3.75,,2073.13
10/01/2021,DOMINOS PIZZA #   _F,11.29,,2061.84
10/01/2021,2256038 ONTARIO   _F,16.36,,2045.48
10/04/2021,SKIPTHEDISHES     _V,29.48,,2016.00
10/05/2021,CANADA           GST,,74.75,2090.75
10/05/2021,TWIGGS COFFEE C   _F,14.24,,2076.51
10/06/2021,Canna Cabana      _V,24.68,,2051.83
10/07/2021,SEND E-TFR ***6YR   ,15.00,,2036.83
10/07/2021,SEND E-TFR ***NyK   ,10.00,,2026.83
10/12/2021,CX Brampton       _V,44.06,,1982.77
10/12/2021,SKIPTHEDISHES     _V,20.77,,1962.00
10/13/2021,THE PITA PIT        ,11.97,,1950.03
10/15/2021,SEND E-TFR ***sAv   ,15.00,,1935.03
10/15/2021,EDDIE'S RESTAUR   _F,31.17,,1903.86
10/18/2021,THAI EXPRESS      _F,14.67,,1889.19
10/18/2021,SEND E-TFR ***6H7   ,15.00,,1874.19
10/18/2021,SQ *CUISINE TRO   _F,37.29,,1836.90
10/18/2021,CANNA CABANA      _F,41.86,,1795.04
10/18/2021,TIM HORTONS #22   _F,3.56,,1791.48
10/18/2021,DOLLARAMA # 296   _F,4.69,,1786.79
10/18/2021,Subway 22983      _F,11.41,,1775.38
10/18/2021,POPEYES           _F,8.23,,1767.15
10/18/2021,SEND E-TFR ***xf7   ,200.00,,1567.15
10/20/2021,SKIPTHEDISHES     _V,42.67,,1524.48
10/20/2021,SEND E-TFR ***9wx   ,30.00,,1494.48
10/20/2021,SKIPTHEDISHES     _V,26.27,,1468.21
10/21/2021,G.E.T.F.         REP,,3140.80,4609.01
10/22/2021,SEND E-TFR ***2zW   ,30.00,,4579.01
10/25/2021,SKIPTHEDISHES     _V,53.14,,4525.87
10/25/2021,LRNTN UNIV   L7U8J2 ,3033.00,,1492.87
10/25/2021,CANNA CABANA      _F,35.46,,1457.41
10/25/2021,SKIPTHEDISHES     _V,37.52,,1419.89
10/25/2021,aliexpress        _V,1.75,,1418.14
10/27/2021,LAURENTIAN UNIV   _V,5.00,,1413.14
10/27/2021,# 847 PARTY CIT   _F,3.96,,1409.18
10/27/2021,Five Guys         _F,11.40,,1397.78
10/27/2021,LCBO/RAO #652     _F,30.55,,1367.23
10/28/2021,MCDONALD'S #234   _F,2.61,,1364.62
10/28/2021,CANNA CABANA        ,22.87,,1341.75
10/28/2021,SEND E-TFR ***E9S   ,45.00,,1296.75
10/29/2021,SKIPTHEDISHES     _V,27.54,,1269.21
10/29/2021,REHAN'S YIG #16   _F,16.28,,1252.93
10/29/2021,INTEREST CREDIT     ,,0.02,1252.95
10/29/2021,WITHDRAWAL FEES     ,17.50,,1235.45
11/01/2021,JUICE ON THE LO   _F,8.88,,1226.57
11/01/2021,CANNA CABANA      _F,29.65,,1196.92
11/02/2021,SKIPTHEDISHES     _V,22.42,,1174.50
11/02/2021,SEND E-TFR ***4sF   ,25.00,,1149.50
11/03/2021,SEND E-TFR ***w4n   ,85.00,,1064.50
11/03/2021,SKIPTHEDISHES     _V,22.42,,1042.08
11/04/2021,SKIPTHEDISHES     _V,22.42,,1019.66
11/05/2021,Canna Cabana      _V,24.57,,995.09
