Date,Withdrawal,Deposit,Balance,Week,Month,Year,Category
2022-10-31,24.9,0.0,462.2,44,10,2022,Transportation
2022-10-31,17.25,0.0,444.95,44,10,2022,Entertainment
2022-10-31,17.95,0.0,427.0,44,10,2022,Dining Out
2022-10-31,16.95,0.0,410.05,44,10,2022,Shopping
2022-10-31,11.85,0.0,398.2,44,10,2022,Bills
2022-10-31,27.11,0.0,371.09,44,10,2022,Entertainment
2022-10-31,12.87,0.0,358.22,44,10,2022,Transportation
2022-10-31,7.9,0.0,350.32,44,10,2022,Housing
2022-10-31,2.9,0.0,347.42,44,10,2022,Personal Care
2022-10-31,0.0,80.0,427.42,44,10,2022,Trading
2022-10-31,80.0,0.0,347.42,44,10,2022,Groceries
2022-11-01,3.4,0.0,344.02,44,11,2022,Shopping
2022-11-01,21.75,0.0,322.27,44,11,2022,Transportation
2022-11-01,6.77,0.0,315.5,44,11,2022,Healthcare
2022-11-02,18.6,0.0,296.9,44,11,2022,Entertainment
2022-11-02,23.67,0.0,273.23,44,11,2022,Loan Payment
2022-11-03,14.68,0.0,258.55,44,11,2022,Bills
2022-11-03,14.95,0.0,243.6,44,11,2022,Transportation
2022-11-03,8.69,0.0,234.91,44,11,2022,Entertainment
2022-11-07,33.87,0.0,201.04,45,11,2022,Entertainment
2022-11-07,55.96,0.0,145.08,45,11,2022,Transportation
2022-11-07,16.95,0.0,128.13,45,11,2022,Bills
2022-11-07,15.75,0.0,112.38,45,11,2022,Housing
2022-11-07,12.42,0.0,99.96,45,11,2022,Dining Out
2022-11-07,21.21,0.0,78.75,45,11,2022,Housing
2022-11-07,12.87,0.0,65.88,45,11,2022,Bills
2022-11-08,2.09,0.0,63.79,45,11,2022,Transportation
2022-11-08,22.59,0.0,41.2,45,11,2022,Loan Payment
2022-11-08,16.95,0.0,24.25,45,11,2022,Transportation
2022-11-09,0.0,358.55,382.8,45,11,2022,Salary
2022-11-09,27.21,0.0,355.59,45,11,2022,Bills
2022-11-09,25.58,0.0,330.01,45,11,2022,Bills
2022-11-09,35.86,0.0,294.15,45,11,2022,Entertainment
2022-11-10,24.05,0.0,270.1,45,11,2022,Housing
2022-11-14,61.79,0.0,208.31,46,11,2022,Transportation
2022-11-14,103.9,0.0,104.41,46,11,2022,Housing
2022-11-14,29.95,0.0,74.46,46,11,2022,Bills
2022-11-14,26.4,0.0,48.06,46,11,2022,Entertainment
2022-11-14,18.5,0.0,29.56,46,11,2022,Healthcare
2022-11-14,16.0,0.0,13.56,46,11,2022,Groceries
2022-11-14,0.0,100.0,113.56,46,11,2022,Salary
2022-11-14,27.11,0.0,86.45,46,11,2022,Entertainment
2022-11-14,0.0,200.0,286.45,46,11,2022,Bonus
2022-11-15,100.05,0.0,186.4,46,11,2022,Personal Care
2022-11-16,22.6,0.0,163.8,46,11,2022,Loan Payment
2022-11-16,17.05,0.0,146.75,46,11,2022,Groceries
2022-11-16,60.0,0.0,86.75,46,11,2022,Bills
2022-11-17,16.68,0.0,70.07,46,11,2022,Personal Care
2022-11-17,9.82,0.0,60.25,46,11,2022,Dining Out
2022-11-18,1.0,0.0,59.25,46,11,2022,Housing
2022-11-18,30.0,0.0,29.25,46,11,2022,Loan Payment
2022-11-21,0.0,60.0,89.25,47,11,2022,Investment Income
2022-11-21,30.0,0.0,59.25,47,11,2022,Personal Care
2022-11-21,22.01,0.0,37.24,47,11,2022,Bills
2022-11-21,18.05,0.0,19.19,47,11,2022,Entertainment
2022-11-21,0.0,50.0,69.19,47,11,2022,Bonus
2022-11-21,18.5,0.0,50.69,47,11,2022,Personal Care
2022-11-21,8.35,0.0,42.34,47,11,2022,Dining Out
2022-11-21,5.97,0.0,36.37,47,11,2022,Transportation
2022-11-21,2.9,0.0,33.47,47,11,2022,Groceries
2022-11-21,24.05,0.0,9.42,47,11,2022,Entertainment
2022-11-22,2.9,0.0,6.52,47,11,2022,Housing
2022-11-22,3.4,0.0,3.12,47,11,2022,Bills
2022-11-22,0.0,60.0,63.12,47,11,2022,Trading
2022-11-22,3.0,0.0,60.12,47,11,2022,Entertainment
2022-11-22,15.4,0.0,44.72,47,11,2022,Transportation
2022-11-22,5.54,0.0,39.18,47,11,2022,Personal Care
2022-11-22,12.98,0.0,26.2,47,11,2022,Healthcare
2022-11-22,10.78,0.0,15.42,47,11,2022,Shopping
2022-11-22,2.42,0.0,13.0,47,11,2022,Transportation
2022-11-23,0.0,350.66,363.66,47,11,2022,Investment Income
2022-11-23,38.39,0.0,325.27,47,11,2022,Bills
2022-11-23,20.34,0.0,304.93,47,11,2022,Dining Out
2022-11-23,14.95,0.0,289.98,47,11,2022,Shopping
2022-11-23,33.88,0.0,256.1,47,11,2022,Groceries
2022-11-24,0.0,2123.93,2380.03,47,11,2022,Trading
2022-11-24,150.0,0.0,2230.03,47,11,2022,Bills
2022-11-24,30.6,0.0,2199.43,47,11,2022,Groceries
2022-11-25,16.34,0.0,2183.09,47,11,2022,Transportation
2022-11-25,20.6,0.0,2162.49,47,11,2022,Groceries
