09/02/2021,,548.8,2265.52
09/03/2021,,74.75,2340.27
09/03/2021,,3000.0,5340.27
09/07/2021,40.68,,5299.59
09/07/2021,19.95,,5279.64
09/07/2021,9.37,,5270.27
09/07/2021,16.6,,5253.67
09/07/2021,9.04,,5244.63
09/07/2021,70.96,,5173.67
09/07/2021,25.38,,5148.29
09/07/2021,,3000.0,8148.29
09/10/2021,,316.0,8464.29
09/10/2021,,2200.0,10664.29
09/10/2021,8000.0,,2664.29
09/10/2021,52.59,,2611.7
09/10/2021,10.0,,2601.7
09/13/2021,50.25,,2551.45
09/13/2021,,10.0,2561.45
09/17/2021,37.29,,2524.16
09/17/2021,46.93,,2477.23
09/17/2021,44.07,,2433.16
09/20/2021,22.57,,2410.59
09/20/2021,15.81,,2394.78
09/20/2021,12.54,,2382.24
09/20/2021,1.69,,2380.55
09/20/2021,15.95,,2364.6
09/20/2021,63.79,,2300.81
09/20/2021,65.33,,2235.48
09/20/2021,42.93,,2192.55
09/24/2021,12.77,,2179.78
09/24/2021,4.62,,2175.16
09/27/2021,11.49,,2163.67
09/27/2021,33.77,,2129.9
09/27/2021,44.96,,2084.94
09/27/2021,,33.77,2118.71
09/28/2021,41.86,,2076.85
09/29/2021,,0.03,2076.88
09/29/2021,3.75,,2073.13
10/01/2021,11.29,,2061.84
10/01/2021,16.36,,2045.48
10/04/2021,29.48,,2016.0
10/05/2021,,74.75,2090.75
10/05/2021,14.24,,2076.51
10/06/2021,24.68,,2051.83
10/07/2021,15.0,,2036.83
10/07/2021,10.0,,2026.83
10/12/2021,44.06,,1982.77
10/12/2021,20.77,,1962.0
10/13/2021,11.97,,1950.03
10/15/2021,15.0,,1935.03
10/15/2021,31.17,,1903.86
10/18/2021,14.67,,1889.19
10/18/2021,15.0,,1874.19
10/18/2021,37.29,,1836.9
10/18/2021,41.86,,1795.04
10/18/2021,3.56,,1791.48
10/18/2021,4.69,,1786.79
10/18/2021,11.41,,1775.38
10/18/2021,8.23,,1767.15
10/18/2021,200.0,,1567.15
10/20/2021,42.67,,1524.48
10/20/2021,30.0,,1494.48
10/20/2021,26.27,,1468.21
10/21/2021,,3140.8,4609.01
