Date,Withdrawal,Deposit,Balance,Week,Month,Year,Category
2022-07-26,22.59,0.0,472.5,30,7,2022,Healthcare
2022-07-27,27.11,0.0,445.39,30,7,2022,Bills
2022-07-28,2.4,0.0,442.99,30,7,2022,Entertainment
2022-07-28,23.5,0.0,419.49,30,7,2022,Dining Out
2022-07-28,22.35,0.0,397.14,30,7,2022,Entertainment
2022-07-29,27.11,0.0,370.03,30,7,2022,Transportation
2022-07-29,32.39,0.0,337.64,30,7,2022,Entertainment
2022-07-29,2.0,0.0,335.64,30,7,2022,Dining Out
2022-08-02,23.14,0.0,312.5,31,8,2022,Transportation
2022-08-02,124.84,0.0,187.66,31,8,2022,Healthcare
2022-08-02,17.52,0.0,170.14,31,8,2022,Shopping
2022-08-02,11.29,0.0,158.85,31,8,2022,Housing
2022-08-02,8.75,0.0,150.1,31,8,2022,Personal Care
2022-08-02,22.26,0.0,127.84,31,8,2022,Transportation
2022-08-02,27.81,0.0,100.03,31,8,2022,Personal Care
2022-08-02,11.29,0.0,88.74,31,8,2022,Entertainment
2022-08-02,22.55,0.0,66.19,31,8,2022,Personal Care
2022-08-03,0.0,1083.86,1150.05,31,8,2022,Bonus
2022-08-03,20.32,0.0,1129.73,31,8,2022,Groceries
2022-08-03,133.85,0.0,995.88,31,8,2022,Loan Payment
2022-08-04,27.11,0.0,968.77,31,8,2022,Dining Out
2022-08-05,11.97,0.0,956.8,31,8,2022,Shopping
2022-08-05,30.6,0.0,926.2,31,8,2022,Personal Care
2022-08-05,11.29,0.0,914.91,31,8,2022,Dining Out
2022-08-08,29.65,0.0,885.26,32,8,2022,Personal Care
2022-08-08,27.11,0.0,858.15,32,8,2022,Dining Out
2022-08-08,2.65,0.0,855.5,32,8,2022,Bills
2022-08-08,126.73,0.0,728.77,32,8,2022,Shopping
2022-08-08,24.45,0.0,704.32,32,8,2022,Shopping
2022-08-08,9.54,0.0,694.78,32,8,2022,Housing
2022-08-08,11.18,0.0,683.6,32,8,2022,Dining Out
2022-08-08,31.9,0.0,651.7,32,8,2022,Bills
2022-08-08,22.55,0.0,629.15,32,8,2022,Transportation
2022-08-08,15.21,0.0,613.94,32,8,2022,Healthcare
2022-08-08,21.46,0.0,592.48,32,8,2022,Shopping
2022-08-08,23.38,0.0,569.1,32,8,2022,Shopping
2022-08-09,0.0,23.38,592.48,32,8,2022,Investment Income
2022-08-09,20.15,0.0,572.33,32,8,2022,Healthcare
2022-08-09,22.55,0.0,549.78,32,8,2022,Loan Payment
2022-08-10,22.55,0.0,527.23,32,8,2022,Loan Payment
2022-08-11,25.05,0.0,502.18,32,8,2022,Housing
2022-08-11,29.71,0.0,472.47,32,8,2022,Personal Care
2022-08-12,20.05,0.0,452.42,32,8,2022,Healthcare
2022-08-12,13.33,0.0,439.09,32,8,2022,Entertainment
2022-08-15,14.68,0.0,424.41,33,8,2022,Dining Out
2022-08-15,17.95,0.0,406.46,33,8,2022,Bills
2022-08-15,39.64,0.0,366.82,33,8,2022,Personal Care
2022-08-15,25.05,0.0,341.77,33,8,2022,Entertainment
2022-08-15,35.86,0.0,305.91,33,8,2022,Dining Out
2022-08-15,25.05,0.0,280.86,33,8,2022,Housing
2022-08-16,19.87,0.0,260.99,33,8,2022,Shopping
2022-08-16,21.46,0.0,239.53,33,8,2022,Personal Care
2022-08-16,21.5,0.0,218.03,33,8,2022,Bills
2022-08-16,27.11,0.0,190.92,33,8,2022,Groceries
2022-08-17,0.0,225.48,416.4,33,8,2022,Trading
2022-08-17,0.0,819.54,1235.94,33,8,2022,Bonus
2022-08-17,25.05,0.0,1210.89,33,8,2022,Entertainment
2022-08-17,16.92,0.0,1193.97,33,8,2022,Transportation
2022-08-18,5.0,0.0,1188.97,33,8,2022,Personal Care
2022-08-18,5.0,0.0,1183.97,33,8,2022,Entertainment
2022-08-18,25.05,0.0,1158.92,33,8,2022,Bills
2022-08-18,27.45,0.0,1131.47,33,8,2022,Housing
2022-08-18,300.0,0.0,831.47,33,8,2022,Dining Out
2022-08-19,23.0,0.0,808.47,33,8,2022,Transportation
2022-08-19,14.68,0.0,793.79,33,8,2022,Groceries
2022-08-19,39.45,0.0,754.34,33,8,2022,Shopping
2022-08-19,12.42,0.0,741.92,33,8,2022,Personal Care
2022-08-19,17.62,0.0,724.3,33,8,2022,Transportation
2022-08-22,0.0,17.62,741.92,34,8,2022,Investment Income
2022-08-22,13.74,0.0,728.18,34,8,2022,Transportation
2022-08-22,22.45,0.0,705.73,34,8,2022,Personal Care
2022-08-22,35.86,0.0,669.87,34,8,2022,Entertainment
2022-08-22,28.6,0.0,641.27,34,8,2022,Bills
2022-08-22,28.45,0.0,612.82,34,8,2022,Entertainment
2022-08-22,43.69,0.0,569.13,34,8,2022,Groceries
2022-08-22,2.4,0.0,566.73,34,8,2022,Groceries
2022-08-22,18.71,0.0,548.02,34,8,2022,Transportation
2022-08-23,111.7,0.0,436.32,34,8,2022,Entertainment
2022-08-23,21.46,0.0,414.86,34,8,2022,Dining Out
2022-08-24,20.42,0.0,394.44,34,8,2022,Entertainment
2022-08-24,39.29,0.0,355.15,34,8,2022,Bills
2022-08-24,22.45,0.0,332.7,34,8,2022,Loan Payment
2022-08-24,15.01,0.0,317.69,34,8,2022,Dining Out
2022-08-25,21.88,0.0,295.81,34,8,2022,Transportation
2022-08-25,20.5,0.0,275.31,34,8,2022,Loan Payment
2022-08-25,23.61,0.0,251.7,34,8,2022,Entertainment
2022-08-25,34.54,0.0,217.16,34,8,2022,Personal Care
2022-08-26,24.84,0.0,192.32,34,8,2022,Dining Out
2022-08-26,4.46,0.0,187.86,34,8,2022,Groceries
2022-08-29,19.5,0.0,168.36,35,8,2022,Healthcare
2022-08-29,14.68,0.0,153.68,35,8,2022,Housing
