Date,Withdrawal,Deposit,Balance,Week,Month,Year,Category
2022-03-22,0.0,150.0,151.8,12,3,2022,Salary
2022-03-22,29.45,0.0,122.35,12,3,2022,Transportation
2022-03-23,22.55,0.0,99.8,12,3,2022,Loan Payment
2022-03-24,22.55,0.0,77.25,12,3,2022,Healthcare
2022-03-25,0.0,500.0,577.25,12,3,2022,Capital Gains
2022-03-25,29.45,0.0,547.8,12,3,2022,Housing
2022-03-28,2.0,0.0,545.8,13,3,2022,Housing
2022-03-28,34.42,0.0,511.38,13,3,2022,Housing
2022-03-28,21.46,0.0,489.92,13,3,2022,Housing
2022-03-28,46.67,0.0,443.25,13,3,2022,Personal Care
2022-03-28,11.46,0.0,431.79,13,3,2022,Healthcare
2022-03-28,42.99,0.0,388.8,13,3,2022,Dining Out
2022-03-28,27.35,0.0,361.45,13,3,2022,Shopping
2022-03-28,15.77,0.0,345.68,13,3,2022,Dining Out
2022-03-28,0.0,50.0,395.68,13,3,2022,Investment Income
2022-03-28,30.2,0.0,365.48,13,3,2022,Dining Out
2022-03-28,25.99,0.0,339.49,13,3,2022,Groceries
2022-03-28,35.9,0.0,303.59,13,3,2022,Dining Out
2022-03-29,13.2,0.0,290.39,13,3,2022,Entertainment
2022-03-29,49.94,0.0,240.45,13,3,2022,Bills
2022-03-29,36.72,0.0,203.73,13,3,2022,Healthcare
2022-03-29,0.0,27.35,231.08,13,3,2022,Bonus
2022-03-29,25.98,0.0,205.1,13,3,2022,Personal Care
2022-03-29,78.11,0.0,126.99,13,3,2022,Dining Out
2022-03-30,22.55,0.0,104.44,13,3,2022,Housing
2022-03-30,0.0,571.29,675.73,13,3,2022,Trading
2022-03-30,40.68,0.0,635.05,13,3,2022,Entertainment
2022-03-30,17.0,0.0,618.05,13,3,2022,Dining Out
2022-03-30,40.25,0.0,577.8,13,3,2022,Bills
2022-03-30,42.68,0.0,535.12,13,3,2022,Healthcare
2022-03-30,120.7,0.0,414.42,13,3,2022,Healthcare
2022-03-31,16.94,0.0,397.48,13,3,2022,Groceries
2022-03-31,27.07,0.0,370.41,13,3,2022,Entertainment
2022-03-31,48.75,0.0,321.66,13,3,2022,Loan Payment
